Samples,timestamp,Roll,Pitch,Yow,X,Y,Z,RSSI,Distance,Label
1,49:46.3,-0.04,0.03,0.01,0.44,-0.23,10.91,-49,4.344782731,AB
2,49:46.6,-0.04,0.03,0.01,0.45,-0.23,10.91,-49,4.344782731,AB
3,49:46.1,-0.04,0.03,0.01,0.45,-0.23,10.92,-49,4.344782731,AB
4,49:46.2,-0.04,0.03,0.01,0.45,-0.23,10.92,-49,4.344782731,AB
5,49:46.2,-0.04,0.03,0.01,0.45,-0.24,10.93,-49,4.344782731,AB
6,49:46.3,-0.04,0.03,0.01,0.45,-0.23,10.92,-49,4.344782731,AB
7,49:46.4,-0.04,0.03,0.01,0.45,-0.23,10.92,-49,4.344782731,AB
8,49:46.4,-0.04,0.03,0.01,0.45,-0.23,10.93,-49,4.344782731,AB
9,49:46.5,-0.04,0.03,0.01,0.46,-0.23,10.92,-49,4.344782731,AB
10,49:46.5,-0.04,0.03,0.01,0.45,-0.23,10.9,-49,4.344782731,AB
11,49:46.6,-0.04,0.03,0.01,0.44,-0.23,10.91,-49,4.344782731,AB
12,49:46.6,-0.04,0.03,0.01,0.44,-0.23,10.92,-49,4.344782731,AB
13,49:46.7,-0.04,0.03,0.01,0.46,-0.23,10.93,-49,4.344782731,AB
14,49:46.8,-0.04,0.03,0.01,0.45,-0.24,10.93,-49,4.344782731,AB
15,49:46.8,-0.04,0.03,0.01,0.45,-0.23,10.93,-49,4.344782731,AB
16,49:46.9,-0.04,0.03,0.01,0.44,-0.22,10.91,-49,4.344782731,AB
17,49:46.9,-0.04,0.03,0.01,0.44,-0.24,10.91,-49,4.344782731,AB
18,49:47.0,-0.04,0.03,0.01,0.45,-0.24,10.9,-49,4.344782731,AB
19,49:47.5,-0.04,0.03,0.01,0.45,-0.24,10.91,-49,4.344782731,AB
20,49:47.1,-0.04,0.03,0.01,0.46,-0.23,10.92,-49,4.344782731,AB
21,49:47.2,-0.04,0.03,0.01,0.45,-0.23,10.91,-49,4.344782731,AB
22,49:47.2,-0.04,0.03,0.01,0.45,-0.23,10.91,-49,4.344782731,AB
23,49:47.3,-0.04,0.03,0.02,0.45,-0.23,10.91,-49,4.344782731,AB
24,49:47.4,-0.04,0.03,0.01,0.46,-0.23,10.91,-49,4.344782731,AB
25,49:47.4,-0.04,0.03,0.01,0.45,-0.24,10.91,-49,4.344782731,AB
26,49:47.5,-0.04,0.03,0.01,0.45,-0.23,10.93,-49,4.344782731,AB
27,49:47.5,-0.04,0.03,0.01,0.44,-0.24,10.92,-49,4.344782731,AB
28,49:47.6,-0.04,0.03,0.01,0.45,-0.24,10.92,-49,4.344782731,AB
29,49:47.7,-0.04,0.03,0.01,0.46,-0.24,10.92,-49,4.344782731,AB
30,49:47.7,-0.04,0.03,0.01,0.45,-0.22,10.92,-49,4.344782731,AB
31,49:47.8,-0.04,0.03,0.01,0.45,-0.24,10.91,-49,4.344782731,AB
32,49:47.8,-0.04,0.03,0.01,0.44,-0.23,10.93,-49,4.344782731,AB
33,49:47.9,-0.04,0.03,0.01,0.45,-0.22,10.93,-49,4.344782731,AB
34,49:48.0,-0.04,0.03,0.01,0.45,-0.23,10.92,-49,4.344782731,AB
35,49:48.2,-0.04,0.03,0.01,0.45,-0.24,10.92,-49,4.344782731,AB
36,49:48.8,-0.04,0.03,0.01,0.46,-0.24,10.91,-49,4.344782731,AB
37,49:48.1,-0.04,0.03,0.01,0.46,-0.24,10.91,-49,4.344782731,AB
38,49:48.2,-0.04,0.03,0.01,0.45,-0.23,10.92,-49,4.344782731,AB
39,49:48.2,-0.04,0.03,0.01,0.45,-0.23,10.92,-49,4.344782731,AB
40,49:48.3,-0.04,0.03,0.01,0.44,-0.23,10.92,-49,4.344782731,AB
41,49:48.4,-0.04,0.03,0.01,0.45,-0.23,10.92,-49,4.344782731,AB
42,49:48.4,-0.04,0.03,0.01,0.45,-0.24,10.92,-49,4.344782731,AB
43,49:48.5,-0.04,0.03,0.01,0.45,-0.23,10.91,-49,4.344782731,AB
44,49:48.6,-0.04,0.03,0.01,0.46,-0.23,10.92,-49,4.344782731,AB
45,49:48.6,-0.04,0.03,0.01,0.45,-0.24,10.93,-49,4.344782731,AB
46,49:48.7,-0.04,0.03,0.01,0.45,-0.23,10.91,-49,4.344782731,AB
47,49:48.7,-0.04,0.03,0.01,0.47,-0.22,10.92,-49,4.344782731,AB
48,49:48.8,-0.04,0.03,0.01,0.47,-0.23,10.92,-49,4.344782731,AB
49,49:48.9,-0.04,0.03,0.01,0.45,-0.23,10.93,-49,4.344782731,AB
50,49:48.9,-0.04,0.03,0.01,0.46,-0.23,10.92,-48,4.132885177,AB
51,49:49.0,-0.04,0.03,0.01,0.45,-0.24,10.92,-48,4.132885177,AB
52,49:49.5,-0.04,0.03,0.01,0.45,-0.24,10.91,-48,4.132885177,AB
53,49:49.1,-0.04,0.03,0.01,0.44,-0.23,10.91,-48,4.132885177,AB
54,49:49.2,-0.04,0.03,0.01,0.45,-0.23,10.91,-48,4.132885177,AB
55,49:49.2,-0.04,0.03,0.02,0.46,-0.22,10.91,-48,4.132885177,AB
56,49:49.3,-0.04,0.03,0.01,0.43,-0.23,10.92,-48,4.132885177,AB
57,49:49.4,-0.04,0.03,0.01,0.44,-0.23,10.91,-48,4.132885177,AB
58,49:49.4,-0.04,0.03,0.01,0.46,-0.23,10.92,-48,4.132885177,AB
59,49:49.5,-0.04,0.03,0.02,0.45,-0.23,10.91,-48,4.132885177,AB
60,49:49.6,-0.04,0.03,0.01,0.46,-0.23,10.92,-48,4.132885177,AB
61,49:49.6,-0.04,0.03,0.01,0.45,-0.24,10.92,-48,4.132885177,AB
62,49:49.7,-0.04,0.03,0.01,0.45,-0.23,10.92,-48,4.132885177,AB
63,49:49.7,-0.04,0.03,0.01,0.45,-0.24,10.93,-48,4.132885177,AB
64,49:49.8,-0.04,0.03,0.02,0.45,-0.23,10.93,-48,4.132885177,AB
65,49:49.8,-0.04,0.03,0.01,0.46,-0.23,10.91,-48,4.132885177,AB
66,49:49.9,-0.04,0.03,0.01,0.45,-0.24,10.91,-48,4.132885177,AB
67,49:50.0,-0.04,0.03,0.01,0.44,-0.24,10.91,-48,4.132885177,AB
68,49:50.3,-0.04,0.03,0.01,0.45,-0.23,10.91,-48,4.132885177,AB
69,49:51.0,-0.04,0.03,0.01,0.44,-0.24,10.91,-48,4.132885177,AB
70,49:50.2,-0.04,0.03,0.01,0.45,-0.23,10.92,-48,4.132885177,AB
71,49:50.2,-0.04,0.03,0.01,0.44,-0.23,10.92,-48,4.132885177,AB
72,49:50.3,-0.04,0.03,0.01,0.45,-0.22,10.93,-48,4.132885177,AB
73,49:50.3,-0.04,0.03,0.01,0.45,-0.23,10.91,-48,4.132885177,AB
74,49:50.4,-0.04,0.03,0.01,0.44,-0.23,10.91,-48,4.132885177,AB
75,49:50.5,-0.04,0.03,0.01,0.45,-0.23,10.91,-49,4.344782731,AB
76,49:50.5,-0.04,0.03,0.01,0.45,-0.24,10.92,-49,4.344782731,AB
77,49:50.6,-0.04,0.03,0.01,0.45,-0.23,10.92,-49,4.344782731,AB
78,49:50.6,-0.04,0.03,0.01,0.45,-0.23,10.91,-49,4.344782731,AB
79,49:50.7,-0.04,0.03,0.01,0.45,-0.23,10.92,-49,4.344782731,AB
80,49:50.8,-0.04,0.03,0.01,0.45,-0.24,10.91,-49,4.344782731,AB
81,49:50.8,-0.04,0.03,0.01,0.45,-0.24,10.91,-49,4.344782731,AB
82,49:50.9,-0.04,0.03,0.01,0.45,-0.24,10.91,-49,4.344782731,AB
83,49:50.9,-0.04,0.03,0.01,0.45,-0.23,10.93,-49,4.344782731,AB
84,49:51.0,-0.04,0.03,0.01,0.45,-0.22,10.92,-49,4.344782731,AB
85,49:51.5,-0.04,0.03,0.01,0.44,-0.23,10.91,-49,4.344782731,AB
86,49:51.1,-0.04,0.03,0.01,0.45,-0.23,10.92,-49,4.344782731,AB
87,49:51.2,-0.04,0.03,0.01,0.45,-0.23,10.93,-49,4.344782731,AB
88,49:51.2,-0.04,0.03,0.01,0.45,-0.24,10.91,-49,4.344782731,AB
89,49:51.3,-0.04,0.03,0.01,0.44,-0.24,10.91,-49,4.344782731,AB
90,49:51.3,-0.04,0.03,0.01,0.45,-0.23,10.91,-49,4.344782731,AB
91,49:51.4,-0.04,0.03,0.01,0.46,-0.24,10.91,-49,4.344782731,AB
92,49:51.5,-0.04,0.03,0.01,0.46,-0.24,10.91,-49,4.344782731,AB
93,49:51.5,-0.04,0.03,0.01,0.45,-0.24,10.92,-49,4.344782731,AB
94,49:51.6,-0.04,0.03,0.01,0.44,-0.23,10.91,-49,4.344782731,AB
95,49:51.6,-0.04,0.03,0.01,0.45,-0.23,10.91,-49,4.344782731,AB
96,49:51.7,-0.04,0.03,0.01,0.45,-0.23,10.9,-49,4.344782731,AB
97,49:51.8,-0.04,0.03,0.01,0.45,-0.23,10.92,-49,4.344782731,AB
98,49:51.8,-0.04,0.03,0.01,0.46,-0.23,10.94,-49,4.344782731,AB
99,49:51.9,-0.04,0.03,0.01,0.45,-0.22,10.93,-49,4.344782731,AB
100,49:52.0,-0.04,0.03,0.01,0.45,-0.23,10.92,-49,4.344782731,AB
101,49:52.1,-0.04,0.03,0.01,0.44,-0.23,10.91,-49,4.344782731,AB
102,49:52.7,-0.04,0.03,0.01,0.44,-0.24,10.91,-49,4.344782731,AB
103,49:52.1,-0.04,0.03,0.01,0.44,-0.23,10.93,-49,4.344782731,AB
104,49:52.2,-0.04,0.03,0.01,0.45,-0.24,10.91,-49,4.344782731,AB
105,49:52.3,-0.04,0.03,0.01,0.45,-0.24,10.91,-49,4.344782731,AB
106,49:52.3,-0.04,0.03,0.01,0.45,-0.23,10.92,-49,4.344782731,AB
107,49:52.4,-0.04,0.03,0.01,0.46,-0.24,10.91,-49,4.344782731,AB
108,49:52.4,-0.04,0.03,0.01,0.46,-0.23,10.91,-49,4.344782731,AB
109,49:52.5,-0.04,0.03,0.01,0.45,-0.23,10.9,-49,4.344782731,AB
110,49:52.5,-0.03,0.03,0.01,0.51,1.48,12.35,-49,4.344782731,AB
111,49:52.6,-0.08,0.1,0.1,0.21,5.17,12.32,-49,4.344782731,AB
112,49:52.7,0.01,0.05,0.07,0.78,4.78,11.17,-49,4.344782731,AB
113,49:52.7,-0.09,0.13,0.01,0.67,3.74,10.96,-49,4.344782731,AB
114,49:52.8,-0.53,0.02,-0.07,0.29,-3.25,11.2,-49,4.344782731,AB
115,49:52.9,-0.19,0.03,0.03,0.4,-5.38,11.26,-49,4.344782731,AB
116,49:52.9,-0.09,-0.02,0.06,0.51,-5.51,11.52,-50,4.567544505,AB
117,49:53.0,0.1,0.01,0,0.49,-3.44,10.88,-50,4.567544505,AB
118,49:53.0,0.06,0.05,-0.01,0.38,-1.98,10.9,-51,4.801727519,AB
119,49:53.4,0.01,0.05,0.02,0.59,-1.92,10.83,-51,4.801727519,AB
120,49:53.9,-0.01,0.04,0,0.47,-1.42,10.84,-51,4.801727519,AB
121,49:53.1,-0.07,0.04,0.02,0.46,-1.84,11.09,-51,4.801727519,AB
122,49:53.2,0,0.03,0.04,0.55,-0.23,10.94,-51,4.801727519,AB
123,49:53.2,-0.03,0.04,0.02,0.49,0.12,10.9,-51,4.801727519,AB
124,49:53.3,-0.04,0.03,0,0.45,1.18,12.59,-51,4.801727519,AB
125,49:53.3,0.07,-0.02,0.06,0.88,3.98,9.38,-51,4.801727519,AB
126,49:53.4,0.14,0.09,0,0.57,5.72,10.2,-51,4.801727519,AB
127,49:53.4,-0.23,0.1,-0.05,0.77,4.36,11.36,-51,4.801727519,AB
128,49:53.4,-0.37,0.03,-0.02,0.17,-3.03,10.99,-51,4.801727519,AB
129,49:53.5,-0.23,-0.02,0.09,0.47,-4.77,11.22,-50,4.567544505,AB
130,49:53.6,0.02,0.01,-0.03,0.45,-2.2,10.14,-50,4.567544505,AB
131,49:53.6,0,0.02,0.01,0.43,-1.58,10.78,-50,4.567544505,AB
132,49:53.7,-0.05,0.03,0.03,0.59,-1.8,10.83,-50,4.567544505,AB
133,49:53.7,0.03,0.03,0.05,0.54,-0.57,10.86,-50,4.567544505,AB
134,49:53.8,0.07,-0.03,0.01,0.83,4.09,9.24,-50,4.567544505,AB
135,49:53.9,-0.01,0,0.05,0.94,4.81,9.23,-50,4.567544505,AB
136,49:53.9,-0.12,0.17,-0.1,0.82,3.79,10.41,-50,4.567544505,AB
137,49:54.0,-0.31,-0.12,0.12,0.28,-3.42,10.85,-50,4.567544505,AB
138,49:54.5,-0.1,0.01,0.2,0.39,-5.26,10.71,-50,4.567544505,AB
139,49:54.1,0.02,0,0.07,0.5,-3.94,10.41,-50,4.567544505,AB
140,49:54.2,0.05,0.05,0,0.4,-1.72,10.82,-50,4.567544505,AB
141,49:54.2,-0.02,0.04,0.04,0.41,-1.68,11.04,-50,4.567544505,AB
142,49:54.3,-0.04,0.03,0.01,0.52,-1.57,10.99,-50,4.567544505,AB
143,49:54.3,-0.02,0.03,0.04,0.41,0.18,10.89,-50,4.567544505,AB
144,49:54.4,-0.04,0.03,0.01,0.42,-0.2,10.93,-50,4.567544505,AB
145,49:54.5,0.06,0.04,0.01,0.01,3.8,12.2,-50,4.567544505,AB
146,49:54.5,-0.14,0.14,-0.18,1.24,4.14,10.62,-50,4.567544505,AB
147,49:54.6,-0.29,0.08,0.04,0.42,-2.68,10.57,-50,4.567544505,AB
148,49:54.6,-0.03,0.06,0.03,0.26,-1.61,10.81,-50,4.567544505,AB
149,49:54.7,-0.05,0.03,0.03,0.4,-1.73,10.98,-50,4.567544505,AB
150,49:54.8,0,0.04,0.05,0.37,-1.9,11.21,-50,4.567544505,AB
151,49:54.8,0.02,0.03,0.04,0.41,0,10.95,-50,4.567544505,AB
152,49:54.9,-0.04,0.03,0.02,0.41,-0.01,10.9,-50,4.567544505,AB
153,49:54.9,-0.04,0.03,0.02,0.4,-0.15,10.95,-50,4.567544505,AB
154,49:55.2,-0.04,0.03,0.01,0.41,-0.14,10.92,-50,4.567544505,AB
155,49:55.8,-0.04,0.03,0.02,0.41,-0.08,10.92,-50,4.567544505,AB
156,49:55.1,-0.04,0.03,0.01,0.42,-0.11,10.92,-50,4.567544505,AB
157,49:55.2,-0.04,0.03,0.01,0.41,-0.11,10.94,-50,4.567544505,AB
158,49:55.2,-0.04,0.03,0.01,0.41,-0.12,10.93,-50,4.567544505,AB
159,49:55.3,-0.04,0.03,0.01,0.42,-0.11,10.92,-50,4.567544505,AB
160,49:55.3,-0.04,0.03,0.01,0.41,-0.11,10.91,-50,4.567544505,AB
161,49:55.4,-0.04,0.03,0.01,0.42,-0.11,10.92,-50,4.567544505,AB
162,49:55.4,-0.04,0.03,0.01,0.42,-0.11,10.92,-50,4.567544505,AB
163,49:55.5,-0.04,0.03,0.01,0.42,-0.1,10.91,-50,4.567544505,AB
164,49:55.5,-0.04,0.03,0.01,0.43,-0.11,10.92,-50,4.567544505,AB
