Samples,timestamp,Roll,Pitch,Yow,X,Y,Z,RSSI,Distance
1,52:11.2,0,0.03,0.01,0.31,-5.09,11.4,-65,9.669491793
2,52:11.2,-0.05,0.07,0.13,0.4,-2.97,10.44,-65,9.669491793
3,52:11.3,-0.01,0.03,-0.05,0.39,-1.74,10.72,-65,9.669491793
4,52:11.3,-0.03,0.02,-0.02,0.46,-1.55,10.84,-65,9.669491793
5,52:11.4,-0.01,0.03,0.02,0.45,-0.76,10.9,-65,9.669491793
6,52:11.5,-0.01,0.04,0.02,0.39,0.32,10.85,-65,9.669491793
7,52:11.5,-0.05,0.03,0,0.37,-0.3,10.93,-65,9.669491793
8,52:11.6,-0.03,0.04,0.02,0.39,0.09,10.9,-66,10.16525724
9,52:11.6,-0.04,0.03,0.01,0.43,-0.1,10.93,-66,10.16525724
10,52:11.7,-0.04,0.03,0.01,0.44,-0.09,10.92,-66,10.16525724
11,52:11.7,-0.04,0.03,0.02,0.42,-0.03,10.92,-67,10.68644112
12,52:11.8,-0.04,0.03,0.01,0.44,-0.05,10.91,-67,10.68644112
13,52:11.9,-0.04,0.03,0.01,0.43,-0.07,10.9,-68,11.23434667
14,52:11.9,-0.04,0.03,0.01,0.43,-0.06,10.91,-68,11.23434667
15,52:12.0,-0.04,0.03,0.01,0.43,-0.06,10.91,-69,11.81034395
16,52:12.4,-0.04,0.03,0.01,0.43,-0.07,10.92,-69,11.81034395
17,52:12.9,-0.04,0.03,0.01,0.43,-0.06,10.93,-69,11.81034395
18,52:12.1,-0.04,0.03,0.01,0.43,-0.06,10.91,-70,12.41587323
19,52:12.2,-0.04,0.03,0.01,0.42,-0.05,10.91,-70,12.41587323
20,52:12.3,-0.04,0.03,0.01,0.43,-0.06,10.92,-72,13.72166201
21,52:12.3,-0.04,0.03,0.01,0.43,-0.06,10.92,-72,13.72166201
22,52:12.4,-0.04,0.03,0.01,0.43,-0.07,10.92,-72,13.72166201
23,52:12.4,-0.04,0.03,0.01,0.44,-0.06,10.92,-71,13.05244866
24,52:12.5,-0.04,0.03,0.01,0.43,-0.07,10.92,-71,13.05244866
25,52:12.6,-0.04,0.03,0.01,0.44,-0.06,10.92,-71,13.05244866
26,52:12.6,-0.04,0.03,0.01,0.43,-0.06,10.92,-71,13.05244866
27,52:12.7,-0.04,0.03,0.01,0.43,-0.06,10.92,-71,13.05244866
28,52:12.7,-0.04,0.03,0.01,0.43,-0.05,10.93,-71,13.05244866
29,52:12.8,-0.04,0.03,0.01,0.44,-0.05,10.93,-71,13.05244866
30,52:12.9,-0.04,0.03,0.01,0.43,-0.06,10.92,-71,13.05244866
31,52:12.9,-0.04,0.03,0.01,0.43,-0.05,10.92,-71,13.05244866
32,52:13.0,-0.04,0.03,0.01,0.42,-0.06,10.9,-71,13.05244866
33,52:13.3,-0.04,0.03,0.01,0.42,-0.06,10.91,-71,13.05244866
34,52:13.8,-0.04,0.03,0.01,0.42,-0.07,10.91,-71,13.05244866
35,52:13.1,-0.04,0.03,0.01,0.42,-0.06,10.92,-71,13.05244866
36,52:13.2,-0.04,0.03,0.01,0.41,-0.05,10.91,-71,13.05244866
37,52:13.2,-0.04,0.03,0.01,0.42,-0.06,10.91,-71,13.05244866
38,52:13.3,-0.04,0.03,0.01,0.43,-0.07,10.93,-71,13.05244866
39,52:13.3,-0.04,0.03,0.01,0.43,-0.06,10.92,-71,13.05244866
40,52:13.4,-0.04,0.03,0.01,0.42,-0.06,10.93,-72,13.72166201
41,52:13.5,-0.04,0.03,0.01,0.43,-0.05,10.92,-72,13.72166201
42,52:13.5,-0.04,0.03,0.01,0.44,-0.07,10.93,-73,14.42518667
43,52:13.6,-0.04,0.03,0.01,0.42,-0.06,10.93,-73,14.42518667
44,52:13.6,-0.04,0.03,0.02,0.43,-0.06,10.93,-73,14.42518667
45,52:13.7,-0.04,0.03,0.01,0.43,-0.05,10.92,-73,14.42518667
46,52:13.8,-0.04,0.03,0.01,0.44,-0.06,10.91,-73,14.42518667
47,52:13.8,-0.04,0.03,0.02,0.43,-0.06,10.92,-73,14.42518667
48,52:13.9,-0.04,0.03,0.01,0.42,-0.07,10.92,-73,14.42518667
49,52:13.9,-0.04,0.03,0.01,0.42,-0.06,10.92,-73,14.42518667
50,52:14.0,-0.04,0.03,0.01,0.43,-0.07,10.92,-73,14.42518667
51,52:14.5,-0.04,0.03,0.01,0.43,-0.07,10.93,-73,14.42518667
52,52:14.1,-0.04,0.03,0.01,0.43,-0.06,10.91,-73,14.42518667
53,52:14.2,-0.04,0.03,0.01,0.42,-0.07,10.92,-73,14.42518667
54,52:14.2,-0.04,0.03,0.01,0.42,-0.05,10.92,-73,14.42518667
55,52:14.3,-0.04,0.03,0.01,0.43,-0.06,10.91,-73,14.42518667
56,52:14.3,-0.04,0.03,0.01,0.43,-0.06,10.91,-73,14.42518667
57,52:14.4,-0.04,0.03,0.01,0.43,-0.06,10.92,-73,14.42518667
