Samples,timestamp,Roll,Pitch,Yow,X,Y,Z,RSSI
1,1627717843,-0.04,0.03,0.01,0.64,0.48,10.92,-22
2,1627717844,-0.04,0.04,0.01,0.64,0.48,10.9,-22
3,1627717845,-0.04,0.03,0.01,0.64,0.49,10.9,-22
4,1627717846,-0.04,0.03,0.01,0.66,0.48,10.92,-23
5,1627717847,-0.04,0.03,0.01,0.64,0.48,10.92,-23
6,1627717848,-0.04,0.03,0.01,0.65,0.48,10.91,-23
7,1627717849,-0.04,0.03,0.01,0.64,0.48,10.91,-23
8,1627717850,-0.04,0.04,0.01,0.66,0.48,10.94,-22
9,1627717850,-0.03,0.05,0.01,0.62,0.49,10.9,-22
10,1627717851,-0.05,0.02,0.01,0.65,0.48,10.93,-23
11,1627717852,-0.04,0.04,0.01,0.67,0.48,10.93,-23
12,1627717853,-0.03,0.05,0.01,0.65,0.49,10.92,-23
13,1627717854,-0.05,0.02,0.01,0.64,0.49,10.9,-22
14,1627717855,-0.04,0.04,0.01,0.65,0.49,10.91,-23
15,1627717856,-0.04,0.04,0.01,0.64,0.48,10.92,-22
16,1627717857,-0.04,0.03,0.01,0.62,0.5,10.9,-22
17,1627717858,-0.04,0.03,0.01,0.66,0.48,10.91,-23
18,1627717859,-0.04,0.04,0.01,0.66,0.49,10.93,-22
19,1627717859,-0.04,0.04,0.01,0.65,0.48,10.91,-23
20,1627717860,-0.04,0.04,0.01,0.64,0.48,10.92,-22
21,1627717861,-0.04,0.04,0.01,0.65,0.48,10.9,-22
22,1627717862,-0.04,0.04,0.01,0.65,0.49,10.92,-22
23,1627717863,-0.04,0.03,0.01,0.63,0.48,10.91,-22
24,1627717863,-0.04,0.03,0.01,0.63,0.49,10.92,-23
25,1627717864,-0.04,0.04,0.01,0.63,0.49,10.9,-22
26,1627717865,-0.04,0.04,0.01,0.63,0.48,10.92,-23
27,1627717866,-0.04,0.03,0.01,0.64,0.48,10.92,-23
28,1627717867,-0.04,0.03,0.01,0.64,0.48,10.93,-22
29,1627717867,-0.04,0.03,0.01,0.63,0.49,10.9,-22
30,1627717868,-0.04,0.04,0.01,0.64,0.49,10.91,-22
31,1627717869,-0.04,0.04,0.01,0.65,0.48,10.91,-23
32,1627717870,-0.04,0.03,0.01,0.63,0.49,10.9,-23
33,1627717871,-0.04,0.03,0.01,0.64,0.48,10.92,-23
34,1627717872,-0.04,0.03,0.01,0.64,0.48,10.91,-23
35,1627717872,-0.04,0.05,0.01,0.65,0.48,10.91,-24
36,1627717873,-0.04,0.03,0.01,0.64,0.48,10.93,-22
37,1627717874,-0.04,0.04,0.01,0.64,0.48,10.91,-22
38,1627717875,-0.04,0.03,0.01,0.65,0.48,10.92,-22
39,1627717876,-0.04,0.04,0.01,0.65,0.49,10.93,-22
40,1627717877,-0.04,0.04,0.01,0.65,0.48,10.92,-21
41,1627717877,-0.04,0.05,0.01,0.56,0.5,10.86,-23
42,1627717878,-0.04,0.05,0.01,0.65,0.48,10.92,-22
43,1627717879,-0.04,0.02,0.01,0.65,0.48,10.92,-23
44,1627717880,-0.04,0.04,0.01,0.65,0.49,10.91,-22
45,1627717881,-0.04,0.03,0.01,0.63,0.49,10.9,-24
46,1627717882,-0.04,0.02,0.01,0.64,0.49,10.92,-22
47,1627717882,-0.04,0.04,0.01,0.65,0.5,10.92,-23
48,1627717883,-0.04,0.03,0.01,0.65,0.49,10.9,-23
49,1627717884,-0.04,0.04,0.01,0.62,0.49,10.91,-22
50,1627717921,-0.04,0.04,0.01,0.64,0.5,10.91,-22
51,1627717923,-0.04,0.04,0.01,0.64,0.48,10.9,-22
52,1627717924,-0.04,0.03,0.01,0.65,0.48,10.92,-23
53,1627717925,-0.04,0.04,0.01,0.65,0.47,10.92,-23
54,1627717925,-0.04,0.03,0.01,0.61,0.48,10.9,-23
55,1627717926,-0.04,0.04,0.01,0.63,0.48,10.91,-23
56,1627717927,-0.04,0.04,0.01,0.63,0.48,10.92,-22
57,1627717928,-0.04,0.03,0.01,0.64,0.5,10.92,-23
58,1627717929,-0.04,0.03,0.01,0.65,0.49,10.91,-23
59,1627717930,-0.04,0.04,0.01,0.65,0.47,10.92,-23
60,1627717931,-0.04,0.03,0.01,0.65,0.49,10.91,-23
61,1627717931,-0.04,0.04,0.01,0.64,0.48,10.92,-23
62,1627717932,-0.04,0.03,0.01,0.63,0.48,10.9,-22
63,1627717933,-0.04,0.04,0.01,0.65,0.5,10.91,-23
64,1627717934,-0.04,0.03,0.01,0.64,0.49,10.91,-23
65,1627717935,-0.04,0.03,0.01,0.65,0.48,10.93,-23
66,1627717936,-0.04,0.04,0.01,0.64,0.47,10.92,-22
67,1627717936,-0.04,0.03,0.01,0.64,0.48,10.92,-23
68,1627717937,-0.04,0.03,0.01,0.65,0.49,10.93,-23
69,1627717938,-0.04,0.03,0.01,0.65,0.48,10.91,-23
70,1627717939,-0.04,0.03,0.01,0.64,0.49,10.91,-22
71,1627717940,-0.04,0.03,0.01,0.64,0.49,10.91,-23
72,1627717941,-0.04,0.03,0.01,0.65,0.48,10.91,-23
