Samples,timestamp,Roll,Pitch,Yow,X,Y,Z,RSSI,Distance
1,2021/8/12 18:7:47.793439,-0.04,0.03,0.01,0.4,-0.12,10.94,-50.0,4.567544504843748
2,2021/8/12 18:7:47.839988,-0.04,0.03,0.01,0.39,-0.13,10.95,-50.0,4.567544504843748
3,2021/8/12 18:7:47.882685,-0.04,0.03,0.01,0.39,-0.12,10.95,-50.0,4.567544504843748
4,2021/8/12 18:7:47.929587,-0.04,0.03,0.01,0.39,-0.12,10.95,-51.0,4.80172751935337
5,2021/8/12 18:7:47.980482,-0.04,0.03,0.01,0.4,-0.12,10.96,-51.0,4.80172751935337
6,2021/8/12 18:7:48.28382,-0.04,0.03,0.01,0.4,-0.11,10.95,-52.0,5.047917353769546
7,2021/8/12 18:7:48.74539,-0.04,0.03,0.01,0.4,-0.11,10.94,-52.0,5.047917353769546
8,2021/8/12 18:7:48.115960,-0.04,0.03,0.01,0.39,-0.11,10.95,-51.0,4.80172751935337
9,2021/8/12 18:7:48.176743,-0.04,0.03,0.01,0.39,-0.12,10.93,-51.0,4.80172751935337
10,2021/8/12 18:7:48.234168,-0.04,0.03,0.01,0.39,-0.12,10.94,-50.0,4.567544504843748
11,2021/8/12 18:7:48.299908,-0.04,0.03,0.01,0.39,-0.1,10.95,-52.0,5.047917353769546
12,2021/8/12 18:7:48.363223,-0.04,0.03,0.02,0.4,-0.12,10.95,-52.0,5.047917353769546
13,2021/8/12 18:7:48.422943,-0.04,0.03,0.01,0.4,-0.13,10.93,-53.0,5.3067296109128685
14,2021/8/12 18:7:48.484667,-0.04,0.03,0.01,0.39,-0.12,10.94,-53.0,5.3067296109128685
15,2021/8/12 18:7:48.548607,-0.04,0.03,0.01,0.39,-0.12,10.95,-52.0,5.047917353769546
16,2021/8/12 18:7:48.602595,-0.04,0.03,0.01,0.39,-0.12,10.95,-51.0,4.80172751935337
17,2021/8/12 18:7:48.659774,-0.04,0.03,0.01,0.39,-0.12,10.94,-51.0,4.80172751935337
18,2021/8/12 18:7:48.717288,-0.04,0.03,0.01,0.39,-0.12,10.97,-50.0,4.567544504843748
19,2021/8/12 18:7:48.770845,-0.04,0.03,0.01,0.4,-0.12,10.96,-50.0,4.567544504843748
20,2021/8/12 18:7:48.827390,-0.04,0.03,0.01,0.4,-0.12,10.94,-50.0,4.567544504843748
21,2021/8/12 18:7:48.889357,-0.04,0.03,0.01,0.39,-0.12,10.95,-50.0,4.567544504843748
22,2021/8/12 18:7:48.948093,-0.04,0.03,0.01,0.39,-0.12,10.94,-49.0,4.344782730723917
23,2021/8/12 18:7:49.7036,-0.04,0.03,0.01,0.39,-0.12,10.95,-49.0,4.344782730723917
24,2021/8/12 18:7:49.64654,-0.04,0.03,0.01,0.39,-0.12,10.95,-49.0,4.344782730723917
25,2021/8/12 18:7:49.126482,-0.04,0.03,0.01,0.4,-0.12,10.94,-49.0,4.344782730723917
26,2021/8/12 18:7:49.187118,-0.04,0.03,0.01,0.39,-0.12,10.95,-49.0,4.344782730723917
27,2021/8/12 18:7:49.249889,-0.04,0.03,0.01,0.39,-0.12,10.94,-49.0,4.344782730723917
28,2021/8/12 18:7:49.307513,-0.04,0.03,0.01,0.4,-0.12,10.94,-49.0,4.344782730723917
29,2021/8/12 18:7:49.376953,-0.04,0.03,0.01,0.4,-0.12,10.94,-49.0,4.344782730723917
